Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,3.0,181.0,0.066666667,0.1,0.0,0.0,Dec,2.0,2.0,3.0,2.0,Returning_Visitor,0.0,No
4.0,45.75,0.0,0.0,18.0,1273.083333,,0.031818182,6.750968245,0.0,Dec,1.0,1.0,1.0,1.0,Returning_Visitor,0.0,Yes
0.0,,2.0,63.5,14.0,376.0,0.0375,0.040625,0.0,0.0,Nov,2.0,2.0,2.0,11.0,Returning_Visitor,1.0,Yes
2.0,87.0,0.0,0.0,20.0,918.0833332999997,0.0075,0.010666667,0.0,0.0,May,1.0,1.0,2.0,2.0,Returning_Visitor,0.0,No
7.0,134.0,2.0,196.0,11.0,438.58333330000005,0.0125,0.032291667,0.0,0.0,May,2.0,5.0,1.0,2.0,Returning_Visitor,0.0,No
13.0,301.5616883,1.0,14.0,55.0,3328.903752,0.007936508,0.014212018,38.60204838,0.0,Nov,1.0,1.0,1.0,2.0,Returning_Visitor,0.0,No
4.0,80.0,0.0,0.0,326.0,11945.62954,0.001849665,0.017527555,0.0,0.0,Nov,2.0,2.0,1.0,2.0,,0.0,Yes
4.0,159.0,0.0,0.0,16.0,307.6166667,0.0,0.010526316,0.0,0.0,Oct,1.0,1.0,3.0,2.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,179.0,5996.025,0.010388889,0.038277778,0.0,0.0,May,2.0,2.0,8.0,4.0,Returning_Visitor,1.0,No
1.0,120.0,1.0,85.0,33.0,616.4333333,0.0,0.005714286,0.0,0.0,May,2.0,2.0,5.0,2.0,New_Visitor,0.0,No
,0.0,0.0,0.0,16.0,645.2,0.0125,0.05,0.0,0.0,Jul,4.0,1.0,3.0,1.0,Returning_Visitor,1.0,No
3.0,46.4,0.0,0.0,8.0,168.2,0.0,0.033333333,4.78307258,0.0,Oct,2.0,7.0,7.0,20.0,,1.0,Yes
1.0,47.5,0.0,0.0,15.0,1330.3,0.0,0.005128205,0.0,0.0,Mar,2.0,4.0,2.0,10.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.4,May,3.0,2.0,4.0,13.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,7.0,70.4,,0.128571429,0.0,0.0,Jul,3.0,2.0,4.0,1.0,Returning_Visitor,0.0,No
12.0,509.53125,2.0,11.0,33.0,2032.599702,0.0,0.020476926,5.730539287999999,0.0,Nov,2.0,2.0,2.0,1.0,Returning_Visitor,0.0,No
4.0,224.0,1.0,32.0,20.0,789.35,0.0,0.002721088,0.0,0.0,Mar,1.0,,4.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,22.0,987.6,0.009090909,0.015151515,0.0,0.0,Oct,2.0,2.0,1.0,4.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,18.0,862.0,0.044444444000000013,0.062962963,0.0,0.0,May,2.0,2.0,3.0,4.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,1.0,1.0,3.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,9.0,211.0,0.0,0.044444444000000013,0.0,0.0,Mar,2.0,2.0,3.0,2.0,Returning_Visitor,0.0,No
1.0,36.0,0.0,0.0,34.0,2240.166667,0.013541667,0.034895833,0.0,0.6,May,1.0,1.0,1.0,4.0,Returning_Visitor,0.0,No
4.0,112.5,0.0,0.0,26.0,1657.0,0.007407406999999999,0.020987654,5.237224754,0.0,Nov,2.0,2.0,1.0,13.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,38.0,454.28917750000005,0.011111111000000002,0.014074074,,0.6,May,2.0,2.0,1.0,3.0,Returning_Visitor,0.0,No
1.0,5.0,0.0,0.0,30.0,1240.65,0.0,0.017708333,0.0,0.0,Nov,2.0,2.0,6.0,2.0,Returning_Visitor,0.0,No
1.0,6.0,0.0,0.0,45.0,2487.333333,0.018604651,0.066666667,0.0,0.0,May,2.0,2.0,7.0,11.0,Returning_Visitor,0.0,No
2.0,33.0,0.0,0.0,9.0,354.0,0.0,0.02,0.0,0.0,Mar,3.0,2.0,1.0,3.0,New_Visitor,0.0,No
2.0,12.625,3.0,95.0,29.0,1268.125,0.008333333,0.038,25.04441774,0.0,Nov,2.0,2.0,1.0,10.0,Returning_Visitor,0.0,Yes
0.0,0.0,2.0,288.0,132.0,6725.66369,0.003731343,0.01286425,0.0,0.0,Nov,2.0,2.0,2.0,2.0,Returning_Visitor,0.0,No
1.0,29.5,0.0,0.0,29.0,569.1666667000002,0.0,0.01957672,12.455,0.0,May,2.0,2.0,3.0,2.0,,0.0,Yes
3.0,21.0,0.0,0.0,109.0,2587.530411,0.0,0.01036036,0.0,0.0,Nov,2.0,2.0,1.0,3.0,,0.0,Yes
5.0,265.2916667,4.0,191.75,29.0,991.8270202,0.008823529,0.008921569,0.0,0.0,Nov,3.0,2.0,7.0,6.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,18.0,432.76666669999986,0.0,0.027777778,0.0,0.0,Oct,3.0,2.0,1.0,,Returning_Visitor,0.0,No
4.0,56.0,0.0,0.0,10.0,709.0,0.0,0.016666667,0.0,0.0,Mar,2.0,2.0,,2.0,New_Visitor,0.0,No
1.0,44.0,0.0,0.0,1.0,0.0,0.0,0.066666667,0.0,0.0,Sep,1.0,1.0,1.0,5.0,New_Visitor,0.0,Yes
1.0,5.0,2.0,31.7,6.0,104.25,0.0,0.007407406999999999,0.0,0.0,June,2.0,5.0,7.0,11.0,New_Visitor,0.0,No
4.0,68.75,0.0,0.0,137.0,3770.916071,0.003165468,0.014745252,0.0,0.0,Dec,2.0,2.0,,1.0,Returning_Visitor,0.0,No
0.0,0.0,3.0,83.0,68.0,2162.657393,0.006527626999999999,0.02055132,0.0,0.0,Dec,1.0,2.0,1.0,2.0,Returning_Visitor,0.0,No
2.0,40.8,0.0,0.0,45.0,1668.125238,0.0044444440000000005,0.024107744,47.57360345,0.0,Sep,1.0,1.0,4.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,14.0,242.0833333,0.014285714,0.023809524,0.0,0.0,Nov,1.0,1.0,1.0,2.0,,0.0,Yes
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,1.0,1.0,1.0,1.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,2.0,35.5,0.0,0.1,0.0,0.0,Dec,2.0,6.0,1.0,11.0,Returning_Visitor,1.0,No
6.0,106.0,0.0,0.0,42.0,1384.197436,0.0,0.004651163,136.937958,0.0,Dec,8.0,13.0,9.0,20.0,,0.0,Yes
0.0,0.0,0.0,0.0,24.0,832.0,0.0,0.020289855,21.92521348,0.0,Mar,2.0,6.0,6.0,1.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,35.0,729.2916667000002,0.0,0.009387755,0.0,0.0,Dec,2.0,2.0,3.0,2.0,Returning_Visitor,0.0,No
