SK_ID_CURR,PRED
149741,0.73
363290,0.94
436006,0.73
377703,0.78
188624,0.86
454397,0.8
358007,0.61
140209,0.63
234837,0.84
269983,0.67
435574,0.78
299809,0.64
386485,0.89
269948,0.98
280976,0.62
238068,0.74
304049,0.93
414990,0.92
217203,0.59
376182,0.99
105944,0.74
141357,0.78
309630,0.96
242368,0.69
442101,0.68
398068,0.91
200440,0.7
130746,0.95
391997,0.93
290025,0.58
343846,0.84
126485,0.71
104163,0.84
362585,0.51
208568,0.81
223220,0.99
115449,0.98
157918,0.98
235847,0.54
424643,0.55
260115,1.0
101029,0.55
209683,0.83
332916,0.73
170649,0.81
148754,0.53
322016,0.83
410057,0.97
400391,0.72
303311,0.8
306375,0.59
349106,0.8
276461,0.99
410126,0.8
150037,0.77
454632,0.64
174402,0.92
261588,0.97
348830,0.84
340159,1.0
389531,0.64
162563,0.79
334705,0.96
304569,0.97
310542,0.55
308062,0.65
261605,0.92
322239,0.95
117154,0.73
364023,0.92
348864,0.96
345535,0.76
228272,0.7
418424,0.91
383965,0.93
145408,0.59
427237,0.7
264554,0.75
174096,0.99
354555,0.67
410575,0.96
186995,0.56
283181,0.76
434215,0.61
337331,0.78
424061,0.86
232858,0.99
176976,0.87
289643,0.59
261786,0.94
160826,0.68
148685,0.97
184353,0.96
129079,0.89
169069,0.63
196926,0.8
221111,0.68
167852,0.98
297652,0.79
181938,0.67
293370,0.5
421379,0.95
332561,0.74
340723,0.94
229097,0.97
175449,0.93
193445,0.54
330554,0.66
302817,0.69
424238,0.52
175232,0.66
390273,0.95
187554,0.98
283526,0.93
422721,0.54
416240,0.69
259330,0.92
434371,0.58
382582,0.87
197878,0.84
189555,0.73
273167,0.69
241255,0.86
168675,0.94
260249,0.85
181438,0.94
247375,0.72
426054,0.74
264562,0.81
133340,0.99
325719,0.63
447395,0.94
452598,0.93
311400,0.69
341080,0.7
373081,0.89
404162,1.0
242418,0.88
237969,0.92
360771,0.51
231795,1.0
146290,0.99
421260,0.86
315059,0.71
282509,0.91
182155,0.5
107722,0.94
396388,0.81
330258,0.54
341315,0.5
320906,0.51
212236,0.98
235119,0.91
292404,0.94
229696,0.97
258282,1.0
215108,0.99
274567,0.73
432205,0.8
353839,0.77
327514,0.54
285013,0.98
442313,0.97
404195,0.79
438392,0.75
309398,0.96
219282,0.53
260308,0.67
135148,0.95
445234,0.53
168834,0.82
329599,0.69
362760,0.99
163956,0.74
445122,0.66
251032,0.6
351312,0.86
302118,0.56
359576,0.85
171282,0.98
352937,0.86
449162,0.75
421092,0.81
141802,0.89
108833,0.64
148965,0.79
121902,0.65
100242,0.95
169654,0.91
276094,0.87
415451,0.88
248819,0.93
389326,0.98
210540,0.94
439749,0.8
320069,0.96
393996,0.99
198943,0.84
311392,0.79
291040,0.9
173126,0.98
442873,0.9
319254,0.98
426528,0.84
200805,0.99
173889,0.95
116171,0.98
155997,0.68
115874,0.99
125263,0.67
361455,0.88
307117,0.62
199346,0.78
444746,0.53
211032,0.74
201396,0.71
252107,0.96
244492,0.56
287818,0.89
316442,0.74
366020,0.78
126061,0.85
382315,0.98
314882,0.72
448535,0.66
280609,0.97
178743,1.0
125823,0.61
434572,0.96
440279,0.5
140307,0.98
347288,0.68
210124,1.0
313107,0.82
190816,0.77
375291,0.85
346276,0.99
156775,0.93
437197,0.63
317309,0.69
122119,0.84
261788,0.95
420159,0.93
193244,0.62
124358,0.74
446769,0.61
356875,0.96
361425,0.94
356234,0.94
393083,0.78
121409,0.57
319077,0.85
316115,0.7
379361,0.61
133822,0.62
220485,0.81
330520,0.97
401779,0.99
437590,0.64
118908,0.6
283935,1.0
147601,0.93
121634,0.87
171054,0.91
207837,0.5
112485,0.66
277914,0.68
440089,0.63
403042,0.99
157589,0.69
252415,0.5
300311,0.99
258099,0.82
268428,1.0
236746,0.58
222744,0.91
108294,0.96
286390,0.98
340617,0.75
401079,0.51
140473,0.96
281105,0.92
398022,0.97
368368,0.98
273618,0.96
238835,0.81
451405,0.86
220268,0.99
111236,0.57
229372,0.94
214909,0.66
424465,0.61
425753,0.79
187107,0.97
355551,0.87
150875,0.86
228360,0.85
158449,0.77
256827,0.92
452482,0.93
240143,0.98
345371,0.73
367140,0.76
425216,0.99
306460,0.96
261919,0.66
378545,0.98
376784,0.62
321675,0.61
413821,0.96
115870,0.96
150067,0.57
444215,0.7
455421,0.97
127234,0.76
422385,0.94
145471,0.65
267867,0.93
342040,0.64
232639,0.92
379752,0.96
107047,0.91
128773,0.97
226072,0.58
424147,0.51
371123,0.66
418636,1.0
176632,0.98
446395,0.81
189140,0.53
250851,0.51
416391,0.85
245881,0.99
296736,1.0
193826,0.92
116843,0.78
180901,0.51
212322,0.93
139141,0.99
267885,0.66
252227,0.95
405466,0.95
361985,0.76
103758,0.56
244944,0.81
125301,0.8
245826,0.72
127394,0.71
223321,0.97
433192,0.55
436795,0.95
311093,0.98
343150,0.53
147034,1.0
187683,0.97
306945,0.91
248625,0.59
179828,0.7
293811,0.75
429605,0.83
343104,0.68
158792,0.82
229537,0.8
404533,0.91
455507,0.82
269784,0.98
436527,0.94
284372,0.6
333637,0.65
199780,0.68
362103,0.76
262900,1.0
287481,0.74
422925,0.84
190888,0.86
313046,0.93
171286,0.66
427096,0.98
197712,0.54
133508,0.96
183904,0.95
163168,0.68
125740,0.79
394614,0.99
443207,0.71
277385,0.99
432854,0.88
175118,0.98
177634,0.55
359767,0.8
198443,0.55
365637,0.99
141073,0.83
352545,0.81
162456,0.99
207216,0.69
288483,0.51
134994,1.0
179586,0.9
249799,0.77
118095,0.97
415596,0.99
390596,0.91
112781,0.81
123894,0.56
128093,0.94
355216,0.55
305353,1.0
455753,0.59
328893,0.77
173741,0.9
169823,0.87
374097,0.63
132210,0.58
424435,0.98
228112,0.79
359167,0.8
221299,0.61
349867,0.94
346581,0.99
121441,0.62
349412,0.87
444267,0.63
236539,0.77
450175,0.56
336834,0.51
341376,0.52
447152,0.53
120656,0.64
326844,0.68
319431,0.91
445901,0.75
452186,0.68
366510,0.78
318465,0.74
123406,0.84
290237,0.76
120973,0.85
280763,1.0
416911,0.93
365876,0.82
381252,0.59
145116,0.85
187816,0.99
337507,0.64
222412,0.74
324102,0.95
201809,0.97
204825,0.93
388563,0.93
140171,0.95
392850,0.96
210311,0.72
338217,0.78
109751,0.82
233440,0.7
152733,0.6
224331,0.83
385109,0.82
162466,0.93
231766,0.77
283610,0.96
192476,0.8
399183,0.91
161633,0.81
141026,0.94
399379,0.94
117699,0.76
385533,0.74
209400,0.72
256262,0.7
288578,0.65
380753,0.85
381351,0.79
421320,0.88
100930,1.0
229792,0.66
301172,0.83
180390,0.71
355215,0.64
342524,0.82
446559,0.97
263618,0.68
343267,0.67
104662,0.67
172455,0.62
170858,0.6
105930,0.54
284546,0.96
236789,0.61
432973,0.84
185541,1.0
402132,0.95
290616,0.71
264713,0.97
107945,0.86
119720,0.52
107118,0.71
312523,1.0
323945,0.91
117061,0.79
386447,0.74
293564,0.7
123269,0.69
199101,0.61
230146,0.59
382780,0.66
338144,0.73
296473,0.7
122773,1.0
236786,0.63
130899,0.74
187811,0.86
358190,0.87
212163,0.56
317415,0.77
341725,0.71
204250,0.64
267875,0.75
173758,0.98
159830,0.79
210119,0.68
211626,0.77
267566,0.9
429899,0.72
401555,0.61
437600,0.86
186075,0.51
154073,0.93
123939,0.85
145150,0.51
305542,0.98
185587,0.84
195453,0.95
416762,0.94
268360,0.56
287832,0.99
412813,1.0
307741,0.77
231403,1.0
273161,0.62
435457,0.57
348968,0.96
317896,0.67
363752,0.99
153354,0.69
208850,0.84
423897,0.68
129236,0.6
451493,0.71
191700,0.7
243799,0.61
280930,0.99
196924,0.72
128719,0.82
442798,0.96
267688,0.91
326158,1.0
129891,0.78
418338,0.91
180268,0.86
394792,0.95
433909,0.92
302114,0.69
